DateTime,Water_Temp_C,DO_pctsat,DO_mg_l,Conductivity_uS_cm,TDS_mg_l,Salinity_ppt,pH_SU
2024-08-14 13:56:33,24.196,76.9,6.44,409.7,266,0.2,7.23
2024-08-14 13:56:43,24.191,76.7,6.43,409.8,266,0.2,7.2
2024-08-14 13:56:53,24.181,76.6,6.42,409.7,266,0.2,7.18
2024-08-14 13:57:03,24.178,76.5,6.41,409.6,266,0.2,7.16
2024-08-14 13:57:13,24.166,76.3,6.4,409,266,0.2,7.15
2024-08-14 13:57:23,24.167,76.3,6.39,408.7,266,0.2,7.15
2024-08-14 13:57:33,24.164,76.2,6.39,408.6,266,0.2,7.14
2024-08-14 13:57:43,24.173,76.1,6.38,408.6,266,0.2,7.13
2024-08-14 13:57:53,24.181,76.5,6.41,403.7,262,0.19,7.13
2024-08-14 13:58:03,24.206,77.6,6.5,398.6,259,0.19,7.13
2024-08-14 13:58:13,24.189,77.3,6.48,379.9,247,0.18,7.11
2024-08-14 13:58:23,24.173,77.4,6.49,387.6,252,0.18,7.1
2024-08-14 13:58:33,24.13,78.5,6.59,390.6,254,0.19,7.1
2024-08-14 13:58:43,24.122,79.1,6.63,389.5,253,0.19,7.09
2024-08-14 13:58:53,24.129,79.3,6.65,384.1,250,0.18,7.08
2024-08-14 13:59:03,24.243,80,6.69,388,252,0.19,7.07
2024-08-14 13:59:13,24.157,80.2,6.72,392.2,255,0.19,7.06
2024-08-14 13:59:23,24.596,82,6.82,394.9,257,0.19,7.05
2024-08-14 13:59:33,24.807,83.3,6.9,362.5,236,0.17,7.03
2024-08-14 13:59:43,25.315,86,7.06,370.8,241,0.18,7.02
2024-08-14 13:59:53,25.263,86.5,7.11,381.2,248,0.18,7.02
2024-08-14 14:00:03,25.445,87.4,7.16,387.8,252,0.18,7.02
2024-08-14 14:00:13,25.306,87.5,7.18,380.2,247,0.18,7.01
2024-08-14 14:00:23,25.015,86.6,7.15,391.1,254,0.19,7.01
2024-08-14 14:00:33,25.178,87.3,7.18,387.8,252,0.18,7.01
2024-08-14 14:00:43,24.954,86.7,7.16,389.2,253,0.19,7
2024-08-14 14:00:53,25.053,87.2,7.19,385.8,251,0.18,7
2024-08-14 14:01:03,25.391,91.7,7.52,369.1,240,0.18,6.99
2024-08-14 14:01:13,25.789,93.2,7.58,381.8,248,0.18,6.99
2024-08-14 14:01:23,25.143,90.9,7.48,394,256,0.19,6.99
2024-08-14 14:01:33,25.151,91.2,7.51,393.3,256,0.19,6.99
2024-08-14 14:01:43,24.601,88.1,7.33,398.8,259,0.19,7
2024-08-14 14:01:53,24.382,86,7.18,401.5,261,0.19,7
2024-08-14 14:02:03,24.374,85.3,7.12,397.2,258,0.19,6.99
2024-08-14 14:02:13,24.467,85.5,7.13,391.2,254,0.19,6.99
2024-08-14 14:02:23,24.703,86.5,7.18,386.2,251,0.18,6.98
2024-08-14 14:02:33,24.664,87.3,7.25,389.9,253,0.19,6.99
2024-08-14 14:02:43,24.163,86.5,7.25,387.6,252,0.18,6.99
