Date,Time,Sensor_Depth_ft
8/10/2024,12:00:00 AM,1.41
8/10/2024,12:15:00 AM,1.41
8/10/2024,12:30:00 AM,1.41
8/10/2024,12:45:00 AM,1.41
8/10/2024,1:00:00 AM,1.41
8/10/2024,1:15:00 AM,1.41
8/10/2024,1:30:00 AM,1.4
8/10/2024,1:45:00 AM,1.41
8/10/2024,2:00:00 AM,1.4
8/10/2024,2:15:00 AM,1.4
8/10/2024,2:30:00 AM,1.4
8/10/2024,2:45:00 AM,1.4
8/10/2024,3:00:00 AM,1.4
8/10/2024,3:15:00 AM,1.4
8/10/2024,3:30:00 AM,1.4
8/10/2024,3:45:00 AM,1.4
8/10/2024,4:00:00 AM,1.4
8/10/2024,4:15:00 AM,1.4
8/10/2024,4:30:00 AM,1.4
8/10/2024,4:45:00 AM,1.39
8/10/2024,5:00:00 AM,1.39
8/10/2024,5:15:00 AM,1.39
8/10/2024,5:30:00 AM,1.39
8/10/2024,5:45:00 AM,1.39
8/10/2024,6:00:00 AM,1.39
8/10/2024,6:15:00 AM,1.39
8/10/2024,6:30:00 AM,1.39
8/10/2024,6:45:00 AM,1.39
8/10/2024,7:00:00 AM,1.39
8/10/2024,7:15:00 AM,1.38
8/10/2024,7:30:00 AM,1.39
8/10/2024,7:45:00 AM,1.38
8/10/2024,8:00:00 AM,1.38
8/10/2024,8:15:00 AM,1.38
8/10/2024,8:30:00 AM,1.38
8/10/2024,8:45:00 AM,1.38
8/10/2024,9:00:00 AM,1.38
8/10/2024,9:15:00 AM,1.37
8/10/2024,9:30:00 AM,1.37
8/10/2024,9:45:00 AM,1.38
8/10/2024,10:00:00 AM,1.37
8/10/2024,10:15:00 AM,1.37
8/10/2024,10:30:00 AM,1.37
8/10/2024,10:45:00 AM,1.37
8/10/2024,11:00:00 AM,1.37
8/10/2024,11:15:00 AM,1.36
8/10/2024,11:30:00 AM,1.37
8/10/2024,11:45:00 AM,1.36
8/10/2024,12:00:00 PM,1.36
8/10/2024,12:15:00 PM,1.36
8/10/2024,12:30:00 PM,1.37
8/10/2024,12:45:00 PM,1.36
8/10/2024,1:00:00 PM,1.37
8/10/2024,1:15:00 PM,1.37
8/10/2024,1:30:00 PM,1.37
8/10/2024,1:45:00 PM,1.37
8/10/2024,2:00:00 PM,1.37
